Identifikasjonsnummer	Tittel / betegnelse	Emne nivå 1	Emne nivå 2	Emne nivå 1	Emne nivå 2	Tilstand 0 - 3  (Skjult)	Datering:Sikker eller usikker	Fra:	Til:	Produksjonssted: Sikker eller usikker	By	Land	Verdensdel	Kunstner/produsent	Bredde (cm)	Høyde (cm)	Dybde (cm)	Vekt (gram)	Materiale/teknikk	Proviniens	Oppbevares hvor (Skjult)	Rom:  (Skjult)	H:  (Skjult)	V:  (Skjult)	Annet sted:  (Skjult)	Utlånt  (Skjult)	Supplerende	Nøkkelord	Referanselitteratur
GA_LH_000001	Orbis sensualium pictus. Den gandske Verden fuld af de Ting som kand sees og sandses afmaled	Bøker	(Illustrerte)	Bøker	Eldre bøker	1	Sikker	1686		Sikker	København	Danmark	Europa	Comenius, Johann Amos	10.5	15.6			Innbundet		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			København: 1686. Illustrert lærebok for barn. Tekst på latinsk, tysk og dansk.	Lysten og hemmeligheten, bøker, illustrerte, lærebøker, Danmark, latin, 1600-1699	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000002	Har Dyrene Sjæl	Bøker	Illustrerte			1	Sikker	1915		Sikker	Oslo / Kristiania	Norge	Europa	Kittelsen, Theodor	20.9	25.8			Innbundet		Magasinet	Reol A2	Hylle 3	Venstre			Kristiania: Gyldendalske Boghandel, Nordisk Forlag, 2. utgave, 1915. 20 fargelitografier med illustrasjoner av Theodor Kittelsen.	Lysten og hemmeligheten, illustrerte, bøker, barn, Kittelsen, litografi, Norge, 1910-1919	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000003	Den hemmelighedsfulle ø	Bøker	Skjønnlitteratur	Bøker	(Illustrerte)	2	Sikker	1903		Sikker	København	Danmark	Europa	Verne, Jules	15.8	22.9					Magasinet	Reol A2	Hylle 3	Venstre			København: Det Nordiske Forlag, 1903. Dansk oversettelse (orig. tittel:  "L'ile mysterieuse"). 	Lysten og hemmeligheten, illustrerte, bøker, Frankrike, Danmark, 1900-1909	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000004	Privat fotoalbum fra 2. verdenskrig	Foto / film	Fotoalbum			1	Sikker	1940	1945	Sikker		Norge	Europa	Kamrath-Lied, R.	22.3	24.5			Fotografier montert i album		Magasinet	Reol A2	Hylle 3	Venstre			Oslo 1940-1945. Amatørfotografier fra 2. verdenskrig. Løse vedlegg: "Og så kom freden og friheten", fanzine.	Lysten og hemmeligheten, krig, amatørfoto, foto, fotoalbum, Norge, 1940-1949	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000005_A	Eventyrbog for børn (rød)	Bøker	Skjønnlitteratur	Bøker	(Illustrerte)	1	Sikker	1883		Sikker	København	Danmark	Europa	Asbjørnsen, Peter Christen & Moe, Jørgen	14.3	20			Innbundet		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			København: Gyldendalske Boghandels Forlag, 1883. Illustrasjoner av Erik Werenskiold og Theodor Kittelsen. Reproduksjoner i xylografi av Rasmus Fredrik Hendriksen.	Lysten og hemmeligheten, xylografi, Werenskiold, Kittelsen, Asbjørnsen, Moe, illustrerte, bøker, Norge,1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000005_B	Eventyrbog for børn (svart)	Bøker	Skjønnlitteratur	Bøker	(Illustrerte)	2	Sikker	1883		Sikker	København	Danmark	Europa	Asbjørnsen, Peter Christen & Moe, Jørgen	14.3	20			Innbundet		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			København: Gyldendalske Boghandels Forlag, 1883. Illustrasjoner av Erik Werenskiold og Theodor Kittelsen. Reproduksjoner i xylografi av Rasmus Fredrik Hendriksen.	Lysten og hemmeligheten, xylografi, Werenskiold, Kittelsen, Asbjørnsen, Moe, illustrerte, bøker, Norge, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000006	ABC	Bøker	Illustrerte			1	Sikker	1938		Sikker	Oslo	Norge	Europa	Rumohr, Marianne & Hanno, Carl von	18.2	22.8			Innbundet		Magasinet	Reol A2	Hylle 3	Midten			Oslo: Johan Grundt Tanum, 1938. Illustrert lærebok for barn. Tekst av Marianne Rumohr. Illustrert av Carl von Hanno.	Lysten og hemmeligheten, lærebøker, alfabet, illustrerte, bøker, barn, Norge, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000007	Atuagagdliutit, 1. årgang, nr. 1-4	Bøker	Grønland	Minoritetskulturer	Inuitt	2	Sikker	1861		Sikker	Nuuk (Godthåb)	Grønland	Europa	Bertelsen, Rasmus (red.)	21	26.5			Innbundet		Magasinet	Reol A2	Hylle 3	Venstre			Nuuk (Godthåb), 1861, 1. årgang, nr. 1-4. 	Lysten og hemmeligheten, aviser, bøker, Grønland, minoritetskulturer, inuitt, Atuagagdliutit, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000008	Atuagagdliutit, nr. 25-48	Bøker	Grønland	Minoritetskulturer	Inuitt	1	Sikker	1865		Sikker	Nuuk (Godthåb)	Grønland	Europa	Møller, Lars (red.)	21	26.5			Innbundet		Magasinet	Reol A2	Hylle 3	Venstre			Nuuk (Godthåb), 1865, nr. 25-48. 	Lysten og hemmeligheten, aviser, bøker, Grønland, inuitt, minoritetskulturer, Atuagagdliutit, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000009_A	Eskimoiske eventyr og sagn. Bind 1	Bøker	Grønland	Minoritetskulturer	Inuitt	1	Sikker	1866		Sikker	København	Danmark	Europa	Rink, Henrik J.	15	23			Innbundet		Magasinet	Reol A2	Hylle 3	Venstre			Kjøbenhavn: C.A. Reitzels bogtrykkeri, 1866. Fullstendig tittel: "Eskimoiske eventyr og sagn. Oversatte efter de indfødte fortællers opskrifter og meddelelser av H. Rink, inspektør i Sydgrønland." Løse vedlegg: illustrert grafisk blad.	Lysten og hemmeligheten, illustrerte, bøker, Rink, Grønland, minoritetskulturer, inuitt, Danmark, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
